country,temperature_celsius,wind_kph,humidity,uv_index,condition_text,condition_category,condition_score,HRS_of_light
Estonie,23.3,16.9,61.0,6.0,partly cloudy,Partly Cloudy,4,0.75
Ethiopia,21.18904109589041,12.894520547945206,46.87945205479452,8.844383561643836,partly cloudy,Partly Cloudy,4,0.52
Fiji Islands,24.24109589041096,10.752054794520548,92.55616438356165,0.4054794520547945,partly cloudy,Partly Cloudy,4,0.46
Finland,10.183561643835617,17.81013698630137,70.44931506849315,2.363835616438356,partly cloudy,Partly Cloudy,4,0.47
France,14.094520547945205,12.792328767123287,71.94246575342466,2.7230136986301368,sunny,Clear,5,0.67
Gabon,28.102191780821915,9.97068493150685,79.08219178082192,5.988493150684932,partly cloudy,Partly Cloudy,4,0.5
Gambia,26.345205479452055,15.736164383561643,61.273972602739725,3.679178082191781,sunny,Clear,5,0.49
Georgia,18.094520547945205,11.40876712328767,50.74794520547945,4.27041095890411,sunny,Clear,5,0.63
Germany,13.76904109589041,14.737534246575342,64.34520547945205,3.014246575342466,sunny,Clear,5,0.7
Ghana,28.699178082191782,15.116986301369863,74.7041095890411,5.25013698630137,partly cloudy,Partly Cloudy,4,0.51
Greece,22.914520547945205,15.327123287671231,45.794520547945204,4.8183561643835615,partly cloudy,Partly Cloudy,4,0.46
Grenada,27.386849315068496,20.33753424657534,82.14520547945206,2.264931506849315,partly cloudy,Partly Cloudy,4,0.52
Guatemala,17.18849315068493,7.002191780821918,90.67671232876712,1.4876712328767123,partly cloudy,Partly Cloudy,4,0.53
Guinea,26.954794520547946,10.905479452054795,79.33698630136986,3.739452054794521,partly cloudy,Partly Cloudy,4,0.51
Guinea-Bissau,26.966849315068494,12.118082191780823,65.92054794520548,3.834246575342466,sunny,Clear,5,0.52
Guyana,25.0972602739726,8.964931506849315,92.56712328767124,2.23972602739726,partly cloudy,Partly Cloudy,4,0.51
Haiti,22.588219178082195,8.601917808219177,84.96712328767123,2.452054794520548,clear,Clear,5,0.55
Honduras,18.950410958904108,6.365479452054795,88.56712328767124,1.6054794520547946,partly cloudy,Partly Cloudy,4,0.53
Hungary,15.88027397260274,11.563287671232878,57.8027397260274,3.5657534246575344,sunny,Clear,5,0.46
Iceland,5.742739726027397,28.513698630136986,81.71506849315068,1.1191780821917807,partly cloudy,Partly Cloudy,4,0.19
Inde,31.2,6.8,71.0,9.0,mist,Fog,2,0.58
India,31.15123287671233,10.25068493150685,39.443835616438356,3.8676712328767127,mist,Fog,2,0.51
Indonesia,26.489589041095893,9.964931506849315,76.52054794520548,1.96,patchy rain nearby,Rain,1,0.51
Iran,27.499452054794517,15.93945205479452,21.791780821917808,6.615616438356164,sunny,Clear,5,0.61
Iraq,30.483287671232876,17.13972602739726,25.786301369863015,6.63945205479452,sunny,Clear,5,0.41
Ireland,11.589315068493152,16.605205479452053,77.4958904109589,1.9304109589041096,partly cloudy,Partly Cloudy,4,0.55
Israel,24.111780821917804,16.67287671232877,43.38082191780822,5.8832876712328765,sunny,Clear,5,0.46
Italy,20.415342465753426,11.536712328767122,61.21917808219178,4.0887671232876714,sunny,Clear,5,0.63
Jamaica,27.05369863013699,8.363835616438356,78.48493150684932,2.372602739726027,partly cloudy,Partly Cloudy,4,0.55
Japan,18.583287671232874,17.29013698630137,65.57260273972602,0.4334246575342465,partly cloudy,Partly Cloudy,4,0.61
Jemen,26.1,14.8,34.0,6.0,patchy light drizzle,Rain,1,0.54
Jordan,23.076986301369864,17.89232876712329,36.90684931506849,6.042739726027397,sunny,Clear,5,0.59
Kazakhstan,8.631780821917808,18.424109589041095,62.02191780821918,2.9597260273972603,partly cloudy,Partly Cloudy,4,0.33
