country,temperature_celsius,condition_text,wind_kph,humidity,uv_index,condition_category,HRS_of_light
Singapore,26.0,partly cloudy,4.0,89,6.0,Partly Cloudy,0.51
Slovakia,17.0,partly cloudy,25.9,55,4.0,Partly Cloudy,0.64
Slovenia,16.0,partly cloudy,16.9,82,3.0,Partly Cloudy,0.63
Solomon Islands,26.9,patchy rain nearby,15.8,87,1.0,Rain,0.49
Somalia,30.0,partly cloudy,22.0,89,7.0,Partly Cloudy,0.51
South Africa,20.0,sunny,6.1,35,7.0,Clear,0.45
South Korea,19.0,sunny,15.1,35,5.0,Clear,0.59
Sudan,30.3,sunny,33.1,10,8.0,Clear,0.53
Spain,14.0,sunny,19.1,47,4.0,Clear,0.6
Sri Lanka,26.0,moderate or heavy rain with thunder,6.1,94,6.0,Thunderstorm,0.52
Suriname,24.4,mist,7.6,96,1.0,Fog,0.52
Sweden,20.0,sunny,11.2,40,5.0,Clear,0.71
Switzerland,14.0,partly cloudy,3.6,82,3.0,Partly Cloudy,0.63
Syria,24.0,sunny,3.6,31,6.0,Clear,0.58
Tajikistan,29.0,partly cloudy,3.6,37,6.0,Partly Cloudy,0.6
Tanzania,25.0,partly cloudy,19.1,57,8.0,Partly Cloudy,0.49
Timor-Leste,28.0,patchy rain nearby,14.4,77,7.0,Rain,0.49
Tonga,23.0,moderate rain,33.1,100,1.0,Rain,0.46
Trinidad And Tobago,26.0,partly cloudy,3.6,89,1.0,Partly Cloudy,0.53
Tunisia,24.0,partly cloudy,19.1,57,6.0,Partly Cloudy,0.59
Turkmenistan,23.0,partly cloudy,6.8,69,5.0,Partly Cloudy,0.59
Tuvalu,26.0,moderate rain at times,20.2,100,1.0,Rain,0.49
Uganda,25.7,patchy rain nearby,3.6,60,6.0,Rain,0.51
Ukraine,13.8,patchy rain nearby,13.0,53,3.0,Rain,0.65
United Arab Emirates,39.0,sunny,11.2,19,8.0,Clear,0.56
United Kingdom,14.0,partly cloudy,4.0,88,3.0,Partly Cloudy,0.65
United States Of America,16.1,clear,6.8,58,1.0,Clear,0.63
Uruguay,6.0,clear,9.0,87,1.0,Clear,0.43
Uzbekistan,22.0,partly cloudy,15.1,73,5.0,Partly Cloudy,0.61
Vanuatu,25.0,partly cloudy,13.0,83,1.0,Partly Cloudy,0.47
Venezuela,26.0,partly cloudy,3.6,84,1.0,Partly Cloudy,0.53
Vietnam,30.0,partly cloudy,6.8,62,6.0,Partly Cloudy,0.55
Yemen,25.7,patchy rain nearby,12.6,27,6.0,Rain,0.54
Zambia,21.8,sunny,14.4,46,7.0,Clear,0.48
Zimbabwe,20.2,sunny,9.7,37,7.0,Clear,0.47
Colombia,13.5,patchy rain nearby,4.7,80,3.0,Rain,0.52
