country,Mid_range_meal_pp,One_way_local_transport_ticket,Apartment,temperature_celsius,wind_kph,humidity,uv_index,condition_text,condition_category,HRS_of_light,Disaster_Count,Median_Severity,Unique_Days_Under_Threat
Dominican Republic,19.66,0.89,300.99,24.292602739726025,9.936712328767124,93.81369863013698,2.2164383561643834,partly cloudy,Partly Cloudy,0.55,4.0,1.0,15.0
Ecuador,14.56,0.33,347.17,10.673150684931509,4.943013698630137,81.31232876712329,1.632876712328767,sunny,Clear,0.5,4.0,1.0,121.0
Egypt,6.54,0.16,111.56,27.403561643835616,16.04739726027397,36.74794520547945,6.542191780821918,sunny,Clear,0.59,1.0,0.25,1.0
El Salvador,10.72,0.25,633.33,23.153424657534245,4.983835616438356,89.0986301369863,1.8027397260273967,clear,Clear,0.53,2.0,0.125,5.0
Equatorial Guinea,21.78,1.58,277.11,28.01287671232877,8.402465753424657,80.54520547945205,5.677260273972602,partly cloudy,Partly Cloudy,0.52,1.0,0.25,73.0
Eritrea,10.0,0.22,650.0,21.435068493150684,11.487123287671231,45.227397260273975,8.30082191780822,sunny,Clear,0.55,0.0,0.0,0.0
Estonia,22.83,0.91,298.52,10.40027397260274,18.60767123287671,69.69315068493151,2.3386301369863016,partly cloudy,Partly Cloudy,0.47,1.0,0.0,7.0
Ethiopia,10.27,0.19,387.3,21.18904109589041,12.894520547945206,46.87945205479452,8.844383561643836,partly cloudy,Partly Cloudy,0.52,2.0,1.0,54.0
Finland,38.55,3.34,699.93,10.183561643835615,17.81013698630137,70.44931506849315,2.363835616438356,partly cloudy,Partly Cloudy,0.47,1.0,0.0,7.0
France,27.22,1.69,698.65,14.094520547945203,12.792328767123289,71.94246575342466,2.7230136986301368,sunny,Clear,0.67,9.0,0.25,21.0
Gabon,39.58,0.55,851.12,28.102191780821915,9.97068493150685,79.08219178082192,5.988493150684932,partly cloudy,Partly Cloudy,0.5,2.0,0.375,3.0
Georgia,14.65,0.2,314.47,18.094520547945205,11.40876712328767,50.74794520547945,4.27041095890411,sunny,Clear,0.63,2.0,0.5,3.0
Germany,26.19,2.9,696.04,13.76904109589041,14.737534246575342,64.34520547945205,3.014246575342466,sunny,Clear,0.7,4.0,0.0,15.0
Ghana,5.72,0.3,348.34,28.699178082191786,15.116986301369865,74.7041095890411,5.25013698630137,partly cloudy,Partly Cloudy,0.51,2.0,0.625,13.0
Greece,20.26,1.23,455.31,22.914520547945205,15.327123287671233,45.7945205479452,4.8183561643835615,partly cloudy,Partly Cloudy,0.46,7.0,0.25,29.0
Guatemala,14.94,0.61,408.97,17.18849315068493,7.002191780821918,90.67671232876712,1.4876712328767123,partly cloudy,Partly Cloudy,0.53,3.0,1.0,12.0
Guinea,15.0,0.9,540.38,26.954794520547942,10.905479452054797,79.33698630136986,3.739452054794521,partly cloudy,Partly Cloudy,0.51,2.0,1.0,7.0
Guinea-Bissau,7.51,0.79,341.22,26.96684931506849,12.118082191780823,65.92054794520548,3.834246575342466,sunny,Clear,0.52,1.0,0.5,1.0
