country,Mid_range_meal_pp,One_way_local_transport_ticket,Apartment,temperature_celsius,wind_kph,uv_index,condition_text,condition_category,condition_score,Disaster_Count,Median_Severity,Unique_Days_Under_Threat
Estonia,22.83,0.91,298.52,10.40027397260274,18.60767123287671,2.3386301369863016,partly cloudy,Partly Cloudy,4,1.0,0.0,7.0
Ethiopia,10.27,0.19,387.3,21.18904109589041,12.894520547945206,8.844383561643836,partly cloudy,Partly Cloudy,4,2.0,1.0,54.0
Finland,38.55,3.34,699.93,10.183561643835615,17.81013698630137,2.363835616438356,partly cloudy,Partly Cloudy,4,1.0,0.0,7.0
France,27.22,1.69,698.65,14.094520547945203,12.792328767123289,2.7230136986301368,sunny,Clear,5,9.0,0.25,21.0
Gabon,39.58,0.55,851.12,28.102191780821915,9.97068493150685,5.988493150684932,partly cloudy,Partly Cloudy,4,2.0,0.375,3.0
Georgia,14.65,0.2,314.47,18.094520547945205,11.40876712328767,4.27041095890411,sunny,Clear,5,2.0,0.5,3.0
Germany,26.19,2.9,696.04,13.76904109589041,14.737534246575342,3.014246575342466,sunny,Clear,5,4.0,0.0,15.0
Ghana,5.72,0.3,348.34,28.699178082191786,15.116986301369865,5.25013698630137,partly cloudy,Partly Cloudy,4,2.0,0.625,13.0
Greece,20.26,1.23,455.31,22.914520547945205,15.327123287671233,4.8183561643835615,partly cloudy,Partly Cloudy,4,7.0,0.25,29.0
Guatemala,14.94,0.61,408.97,17.18849315068493,7.002191780821918,1.4876712328767123,partly cloudy,Partly Cloudy,4,3.0,1.0,12.0
Guinea,15.0,0.9,540.38,26.954794520547942,10.905479452054797,3.739452054794521,partly cloudy,Partly Cloudy,4,2.0,1.0,7.0
Guinea-Bissau,7.51,0.79,341.22,26.96684931506849,12.118082191780823,3.834246575342466,sunny,Clear,5,1.0,0.5,1.0
Guyana,24.96,0.57,329.0,25.0972602739726,8.964931506849315,2.23972602739726,partly cloudy,Partly Cloudy,4,0.0,0.0,0.0
Haiti,30.93,0.5,523.86,22.588219178082195,8.601917808219177,2.452054794520548,clear,Clear,5,2.0,0.5,7.0
Honduras,13.8,0.71,293.45,18.950410958904108,6.365479452054795,1.6054794520547946,partly cloudy,Partly Cloudy,4,4.0,0.625,307.0
