country,Holiday_Index_PCA,PC1,PC2,PC3,PC4,PC5,PC6,PC7
Afghanistan,0.5436600247685612,-1.6735893851419283,-0.3140192310261089,-0.9216345303439708,0.2721197646337374,0.2492030975687344,0.1352231325354972,-0.140203766658187
Albania,0.7696080009552136,-0.3354909154715979,0.3655816133891049,-1.2909360100508571,-0.0477497353088918,-0.7790152230886855,0.0117135056021947,-0.0877050153477553
Algeria,0.6465133597743947,-1.0702791478372669,0.2822604800237182,-0.8170257612106577,-0.2575282220140933,0.1265373284029257,-0.5553016604351747,0.1427245229938572
Andorra,0.8577548377130157,1.548849920369593,-0.9850922869759,-1.2924411825641855,0.0684940346084059,-0.3968901599116267,0.7230307100827865,-0.3426392047627544
Angola,0.5600055899326929,-0.8480821003110951,0.6807027471252756,0.9522927556009024,1.506612975867081,0.7307887757134154,0.9298177481003322,-0.3886523261102839
Antigua And Barbuda,0.9169523471968013,1.958943032928427,1.085600823804623,0.6293277770053319,-1.035104401763538,0.5336372078906089,-1.211859494328523,-0.0756454927895327
Argentina,0.5436403699264643,-0.7455394184742351,-1.2109103319310932,-0.9381434242066832,0.3155040103206887,0.5615801034286615,-0.3032045541031927,-0.5826994202671966
Armenia,0.6226520022549602,-0.5898015433303005,-0.1943843232774105,-0.7340486612923128,1.1061826077584571,-0.1874386542446856,0.3424069613129085,-0.6601783522828836
Australia,0.7101389390615457,1.7505849138702725,-2.465521784867366,0.2181592522010464,-0.0487865143678355,0.098645029060637,0.1388376142591006,0.6676154109460004
Austria,0.8843004326972402,1.8335538904086568,-0.6434031138129919,-0.3009471965647769,-0.6696100115884338,0.0002612071021252,0.6308564586873409,0.0860733316418496
Azerbaijan,0.8323965994734092,0.0902405507072314,1.5074159902236155,-0.904042503782821,-1.3798036878390405,0.8836229589094056,-0.9116186131793496,-0.694278460656117
Bahrain,0.8694735743871158,0.541965463498171,2.091626788587848,0.7859912092359062,-0.4495376633281273,-0.4901762290956278,-0.3952036180178804,-0.0287519118691888
