country,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
Afghanistan,-1.6735893851419283,-0.31401923102610896,-0.9216345303439707,0.2721197646337374,0.24920309756873446,0.1352231325354972,-0.14020376665818704,-0.673530764123861,0.3027864291687999
Albania,-0.33549091547159793,0.3655816133891049,-1.2909360100508571,-0.04774973530889186,-0.7790152230886855,0.01171350560219479,-0.08770501534775539,0.15408012189603493,-0.13207079988159956
Algeria,-1.0702791478372669,0.28226048002371823,-0.8170257612106577,-0.2575282220140933,0.12653732840292573,-0.5553016604351747,0.14272452299385727,-0.42268162238138757,0.16487213790216262
Andorra,1.5488499203695927,-0.9850922869758999,-1.2924411825641857,0.06849403460840599,-0.3968901599116267,0.7230307100827865,-0.3426392047627544,-0.49404252029454604,-0.3616654446711913
Angola,-0.8480821003110951,0.6807027471252756,0.9522927556009023,1.506612975867081,0.7307887757134154,0.9298177481003322,-0.38865232611028394,0.9584697707677411,1.2779267373922245
Antigua And Barbuda,1.958943032928427,1.085600823804623,0.6293277770053319,-1.035104401763538,0.5336372078906089,-1.211859494328523,-0.07564549278953273,1.50823990425043,0.7564874507303545
Argentina,-0.7455394184742351,-1.2109103319310932,-0.9381434242066832,0.3155040103206887,0.5615801034286615,-0.3032045541031927,-0.5826994202671966,0.09970871800024884,0.0037600639544248617
Armenia,-0.5898015433303005,-0.1943843232774105,-0.7340486612923128,1.1061826077584571,-0.1874386542446856,0.34240696131290854,-0.6601783522828836,-0.18853053015243124,0.345304266510238
Australia,1.7505849138702725,-2.465521784867366,0.21815925220104643,-0.04878651436783557,0.09864502906063702,0.13883761425910068,0.6676154109460004,-0.49222964809083336,0.4809547881208329
Austria,1.8335538904086566,-0.6434031138129919,-0.3009471965647769,-0.6696100115884338,0.00026120710212528437,0.6308564586873409,0.08607333164184963,-0.21804085779747573,0.059800098719560074
Azerbaijan,0.09024055070723148,1.5074159902236157,-0.904042503782821,-1.3798036878390403,0.8836229589094056,-0.9116186131793497,-0.694278460656117,-0.547498454196506,-0.3521864410290385
Bahrain,0.541965463498171,2.091626788587848,0.7859912092359062,-0.4495376633281273,-0.49017622909562786,-0.39520361801788045,-0.02875191186918882,-0.17494744747725224,-0.12329920226569864
Bangladesh,-2.1823408623483456,0.00444657365430933,0.31639544362826555,0.14262521946665568,0.5994399081734954,-0.8173672017588471,1.0366739539732255,0.05403323530178328,-0.015928103432877688
Barbados,2.0991490353588182,0.8363783820607105,1.298388737563668,-0.7901961689265243,1.1480377784710465,-0.8699995484673712,0.31433523270168995,1.340588026530377,0.7861714194261715
Belarus,0.32166663427894776,-0.014476703809931131,-1.2466398812502695,-0.4954380534713124,0.9716530417823512,-0.4207329472316437,-1.039738547701855,-0.36402609982009526,0.10373686554231168
Belgium,2.058792515134364,-0.4114552489173484,0.4458924737522549,-0.8653005603030128,-0.0573597323252369,0.6370131090515209,0.30726275721581303,0.05265997888301206,0.3949219522155142
Belize,0.45437404016620025,-0.5230225012897245,-1.4226892838878544,0.5680596965859772,-1.0272153637897135,0.41827750302624944,0.8615734580101554,0.6453780346134232,-0.505317918145205
Benin,-0.2703120100816719,1.030307063212043,-0.10717967847653802,-0.27547996412729614,-0.33873921785680916,0.43906683350796394,1.0775629174761825,0.19319986459453817,-0.20284960326747634
Bhutan,0.6038195323198301,-0.9166429033857163,-2.124600775752676,-0.13343814781741764,-0.2351321350428993,0.9627292941189949,0.18578962904210752,-0.25393513656217215,-0.6379339339373118
Bolivia,-0.5043474941595057,0.02071022515193523,-1.929158725286236,0.4930999396521657,-1.1628139419858967,0.3412319754386993,-0.3041174839999145,-0.17845103857576539,-0.4068253225833739
Bosnia And Herzegovina,0.20611562604201114,-0.3322229854153737,-1.8518788795996088,-0.0024145319647632443,-0.556317823728705,0.6655506181649103,-0.07871001972186223,-0.0784585886044413,-0.37687895632089163
Botswana,-2.719100282280935,-0.09963631317166596,2.3532920599925182,0.10334209304545516,0.5523620406414141,1.4252988064765169,-1.829059621242705,1.1879128538424877,-1.3183278448849636
Brazil,-3.380193425711083,-3.516468136847645,1.691084787995544,-0.9123063319086955,-1.086418453226074,-0.09630305374983288,0.399007170990592,0.43037162653951105,-0.15894816022283664
Bulgaria,-0.7746505916144933,0.8530869944251891,-0.17047655579789603,-0.33733137018982,-0.6149684510667232,0.23321238410742495,0.36580515352179716,-0.10898876240913669,0.24669428749211128
Burkina Faso,-0.9390144996382337,1.363336055495282,0.37890736432047534,-0.20536685983531677,-0.12641735149886954,-0.5131312017784204,0.15538347901774655,0.17833637227218072,-0.33186500595742296
Burundi,-1.468292625792105,1.7652026164060837,0.7840233697613046,-0.5427421514039514,0.06894123539461151,0.45797048078278463,-0.7251441015193895,-0.30408338069756713,-0.16957813975611705
Cambodia,-0.819581073243746,0.07513488170606072,0.21822845587288972,1.8734599300545511,1.3693573366557636,-0.17422465805616402,1.2277695828885484,0.7151688476711283,-0.37709604263168317
Cameroon,-1.0758421775194278,0.4365625493443795,-0.3087088428507594,0.025569211858290582,-0.6514008214516086,0.9114278372777112,0.7793542062089589,-0.21382180810345428,0.3236037078018774
Canada,2.0018808973295137,-2.2047376813911534,-0.3569341603038527,-0.09457562088198013,0.37832487937458253,0.45953278928652486,-0.5053354354441616,-0.8006527189371505,0.45499532691936073
